Unnamed: 0,Model,Price,Generation,Core,Ram,SSD,Display,Graphics,CPU_Score,RAM_Score,GPU_Score,Storage_Score,Performance_Score,Hidden_Gem_Ratio
27,ASUS VIVOBOOK 15 2024 X1504VAP-NJ322WS LAPTOP (INTEL CORE 3 PROCESSOR 100U/ 8GB/ 512GB SSD/ WIN11),49990.0,Intel Core 3 Processor 100U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Integrated Intel Graphics,1.2,3.2,1.2,0.1,5.7,0.114
28,LENOVO V14 G3 82TSA0EMIH LAPTOP (12TH GEN CORE I3/ 8GB/ 512GB SSD/ WIN11 PRO),44990.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated UHD,2.0,1.6,1.2,0.1,4.9,0.1089
29,HP ENVY X360 ‎14-FC0100TU LAPTOP (INTEL CORE ULTRA 7 155U/ 32GB/ 1TB SSD/ WIN11),133999.0,Intel Core Ultra 7 155U,"12 Cores (2P + 8E + 2LP-E), 14 Threads",32 GB LPDDR5 RAM,1 TB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",Integrated Intel Graphics,1.2,6.4,1.2,0.1,8.9,0.0664
30,HP 15S-FQ5329TU LAPTOP (12TH GEN CORE I5/ 8GB/ 512GB SSD/ WIN11 HOME),47990.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,2.0,1.6,1.2,0.1,4.9,0.1021
31,HP OMEN 14-FB0089TX GAMING LAPTOP (INTEL CORE ULTRA 7 155H/ 16GB/ 1TB SSD/ WIN11 HOME/ 8GB GRAPH),175999.0,Intel Core Ultra 7 Series 1 155H,"16 Cores (6P + 8E + 2LP-E), 22 Threads",16 GB LPDDR5x RAM,1 TB SSD,"14 inches, 2880 x 1800 pixels",8 GB NVIDIA GeForce RTX 4060,2.0,3.2,2.4,0.1,7.7,0.0438
32,HP ENVY X360 14-FC0105TU LAPTOP (INTEL CORE ULTRA 5 125U/ 16GB/ 512GB SSD/ WIN11),96999.0,Intel Core Ultra 5 125U,"12 Cores (2P + 8E + 2LP-E), 14 Threads",16 GB LPDDR5 RAM,512 GB SSD,"14 inches, 1920 x 1200 pixels, Touch Screen",Integrated Intel Graphics,1.2,3.2,1.2,0.1,5.7,0.0588
33,HP VICTUS 15-FA1099TX LAPTOP (12TH GEN CORE I5/ 16GB/ 512GB SSD/ WIN11 HOME/ 4GB GRAPH),61990.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,"16.1 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050,2.0,3.2,1.2,0.1,6.5,0.1049
34,ASUS VIVOBOOK GO 14 2023 E1404FA-NK331W LAPTOP (RYZEN 3 7320U / 8GB/ 1TB SSD/ WIN11 HOME),34990.0,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,1 TB SSD,"14 inches, 1920 x 1080 pixels",Integrated AMD Radeon Graphics,6.8,1.6,1.2,0.1,9.7,0.2772
35,SAMSUNG GALAXY BOOK 4 NP750XGK-KS3IN LAPTOP (INTEL CORE 7 PROCESSOR 150U/ 16GB/ 512GB SSD/ WIN11),85990.0,Intel Core 7 Processor Series 1 150U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4x RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Graphics,1.2,3.2,1.2,0.1,5.7,0.0663
36,DELL 15 G15-5530 GAMING LAPTOP (13TH GEN CORE I5/ 16GB/ 1TB SSD/ WIN11/ 6GB GRAPH),79990.0,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",6 GB NVIDIA GeForce RTX 3050,2.0,3.2,2.16,0.1,7.46,0.0933
